date_commande,frequentation,ca_ttc,nb_commandes,prix_moyen
2017-09-13,243,3578.75,106,14.727366255144032
2017-09-14,263,3813.4600000000005,107,14.499847908745249
2017-09-15,276,4015.56,108,14.549130434782608
2017-09-16,371,5433.900000000001,114,14.646630727762805
2017-09-17,222,3306.79,43,14.89545045045045
2017-09-18,198,2895.57,105,14.62409090909091
2017-09-19,195,2884.13,86,14.790410256410256
2017-09-20,200,2948.31,74,14.74155
2017-09-21,346,4980.389999999999,99,14.394190751445086
2017-09-22,376,5478.0199999999995,118,14.569202127659572
2017-09-23,402,5820.419999999999,93,14.478656716417909
2017-09-24,266,4005.8,42,15.059398496240602
2017-09-25,198,2908.03,83,14.687020202020204
2017-09-26,216,3163.43,95,14.645509259259258
2017-09-27,247,3633.15,80,14.70910931174089
2017-09-28,267,3973.0,98,14.880149812734082
2017-09-29,322,4581.28,129,14.227577639751551
2017-09-30,369,5386.749999999999,93,14.598238482384822
2017-10-01,240,3613.1000000000004,39,15.054583333333335
2017-10-02,195,2788.77,64,14.301384615384615
2017-10-03,222,3195.0,92,14.391891891891891
2017-10-04,239,3552.05,74,14.86213389121339
2017-10-05,266,3953.79,109,14.863872180451128
2017-10-06,343,5099.75,95,14.86807580174927
2017-10-07,390,5606.0,129,14.374358974358975
2017-10-08,215,3225.25,27,15.001162790697675
2017-10-09,209,3170.1600000000003,73,15.168229665071772
2017-10-10,254,3840.21,116,15.118937007874015
2017-10-11,281,4173.48,106,14.852241992882561
2017-10-12,248,3698.42,98,14.912983870967743
2017-10-13,373,5461.42,113,14.641876675603218
2017-10-14,416,6158.34,120,14.803701923076924
2017-10-15,236,3667.6,37,15.540677966101695
2017-10-16,209,3061.13,91,14.646555023923446
2017-10-17,256,3812.25,100,14.8916015625
2017-10-18,304,4608.52,98,15.159605263157896
2017-10-19,355,5294.7,136,14.914647887323943
2017-10-20,388,5639.150000000001,165,14.53389175257732
2017-10-21,350,5041.16,120,14.403314285714286
2017-10-22,196,2961.6,33,15.110204081632652
2017-10-23,256,3796.0000000000005,96,14.828125000000002
2017-10-24,205,3040.4500000000003,89,14.831463414634147
2017-10-25,270,3971.61,86,14.709666666666667
2017-10-26,275,4046.2000000000003,110,14.713454545454546
2017-10-27,338,4968.65,133,14.700147928994081
2017-10-28,381,5695.500000000001,106,14.948818897637798
2017-10-29,205,3065.32,33,14.952780487804878
2017-10-30,242,3513.0,102,14.516528925619834
2017-10-31,275,3980.75,103,14.475454545454545
2017-11-01,355,5248.639999999999,77,14.784901408450702
2017-11-02,261,3773.6000000000004,100,14.458237547892722
2017-11-03,270,3818.41,97,14.142259259259259
2017-11-04,583,8922.66,129,15.304734133790737
2017-11-06,208,3065.9,84,14.739903846153847
2017-11-07,181,2740.54,77,15.14110497237569
2017-11-08,235,3428.05,100,14.58744680851064
2017-11-09,292,4353.15,136,14.908047945205478
2017-11-10,394,5734.849999999999,146,14.555456852791878
2017-11-11,414,6186.049999999999,144,14.942149758454104
2017-11-12,221,3278.71,41,14.83579185520362
2017-11-13,203,2849.9800000000005,86,14.039310344827589
2017-11-14,220,3201.3999999999996,86,14.55181818181818
2017-11-15,217,3151.1600000000003,107,14.521474654377881
2017-11-16,251,3508.25,106,13.977091633466136
2017-11-17,362,5284.95,136,14.599309392265193
2017-11-18,440,6356.55,121,14.446704545454546
2017-11-19,239,3567.7,39,14.927615062761506
2017-11-20,214,3139.8199999999997,94,14.672056074766354
2017-11-21,216,3077.45,93,14.247453703703703
2017-11-22,262,3787.4,131,14.455725190839695
2017-11-23,206,3065.94,89,14.883203883495145
2017-11-24,436,5400.6,132,12.386697247706422
2017-11-25,477,5982.950000000001,105,12.542872117400421
2017-11-26,246,3287.51,28,13.363861788617887
2017-11-27,174,2541.35,75,14.605459770114942
2017-11-28,204,2949.92,92,14.460392156862746
2017-11-29,246,3564.96,95,14.491707317073171
2017-11-30,293,4399.8099999999995,122,15.016416382252558
2017-12-01,350,5148.52,142,14.710057142857144
2017-12-02,360,5278.03,97,14.661194444444444
2017-12-03,422,6508.91,72,15.423957345971564
2017-12-04,195,2934.8,87,15.050256410256411
2017-12-05,257,3673.6,84,14.294163424124513
2017-12-06,270,3923.3800000000006,128,14.53103703703704
2017-12-07,268,3882.91,134,14.48847014925373
2017-12-08,433,6232.259999999999,190,14.393210161662816
2017-12-09,533,7702.839999999999,170,14.4518574108818
2017-12-10,509,7496.15,108,14.727210216110018
2017-12-11,239,3498.8500000000004,96,14.639539748953977
2017-12-12,240,3550.7999999999997,106,14.794999999999998
2017-12-13,230,3378.2000000000003,95,14.687826086956523
2017-12-14,257,3801.0499999999997,118,14.790077821011671
2017-12-15,405,5922.99,138,14.624666666666666
2017-12-16,399,5732.14,135,14.366265664160402
2017-12-17,376,5470.2,82,14.548404255319149
2017-12-18,265,3895.35,98,14.69943396226415
2017-12-19,238,3507.1,97,14.735714285714286
2017-12-20,229,3439.5499999999997,94,15.019868995633187
2017-12-21,286,4113.28,133,14.382097902097902
2017-12-22,345,4984.679999999999,144,14.448347826086955
2017-12-23,271,4008.5499999999997,93,14.791697416974168
2017-12-26,185,2892.3999999999996,59,15.634594594594592
2017-12-27,236,3510.6,84,14.875423728813558
2017-12-28,273,3907.32,106,14.312527472527472
2017-12-29,277,4166.509999999999,76,15.041552346570395
2017-12-30,290,4420.66,67,15.243655172413792
2018-01-02,282,4126.860000000001,103,14.634255319148938
2018-01-03,264,4061.1900000000005,99,15.383295454545456
2018-01-04,263,3747.9500000000003,92,14.250760456273765
2018-01-05,302,4246.81,117,14.062284768211923
2018-01-06,330,5016.82,111,15.202484848484847
2018-01-07,197,3081.35,29,15.641370558375634
2018-01-08,154,2364.2500000000005,61,15.35227272727273
2018-01-09,207,3066.4199999999996,99,14.813623188405796
2018-01-10,202,3107.56,88,15.383960396039603
2018-01-11,261,3787.45,113,14.511302681992337
2018-01-12,371,5542.42,142,14.939137466307278
2018-01-13,417,6148.429999999999,159,14.744436450839327
2018-01-14,192,2985.5,34,15.549479166666666
2018-01-15,194,2977.55,79,15.34819587628866
2018-01-16,78,1170.25,69,15.003205128205128
2018-01-17,234,3547.0500000000006,84,15.158333333333337
2018-01-18,276,4110.77,113,14.894094202898552
2018-01-19,349,5228.940000000001,158,14.982636103151867
2018-01-20,451,6738.549999999999,145,14.941352549889134
2018-01-21,238,3679.4,42,15.459663865546219
2018-01-22,170,2517.7,51,14.809999999999999
2018-01-23,199,2974.6,86,14.947738693467336
2018-01-24,231,3492.2,95,15.117748917748917
2018-01-25,255,3930.3100000000004,133,15.412980392156864
2018-01-26,309,4487.25,121,14.521844660194175
2018-01-27,358,5485.150000000001,124,15.321648044692738
2018-01-28,133,2123.2,31,15.96390977443609
2018-01-29,225,3515.9900000000007,103,15.626622222222226
2018-01-30,181,2758.4500000000003,85,15.240055248618786
2018-01-31,234,3537.86,109,15.119059829059829
2018-02-01,276,4095.1000000000004,125,14.837318840579712
2018-02-02,291,4355.21,100,14.966357388316151
2018-02-03,377,5753.3,117,15.260742705570292
2018-02-04,176,2800.9,30,15.914204545454545
2018-02-05,189,2776.1800000000003,94,14.68878306878307
2018-02-06,191,2808.86,93,14.70607329842932
2018-02-07,239,3544.4100000000003,91,14.830167364016738
2018-02-08,300,4358.39,169,14.527966666666668
2018-02-09,370,5718.549999999999,137,15.455540540540538
2018-02-10,441,6923.550000000001,110,15.69965986394558
2018-02-11,254,4039.9,32,15.90511811023622
2018-02-12,237,3450.2099999999996,79,14.55784810126582
2018-02-13,233,3304.2599999999998,82,14.181373390557939
2018-02-14,228,3497.8500000000004,85,15.341447368421054
2018-02-15,305,4605.0,131,15.098360655737705
2018-02-16,310,4623.21,105,14.913580645161291
2018-02-17,343,5175.41,123,15.08865889212828
2018-02-18,248,3916.65,44,15.792943548387097
2018-02-19,195,2898.6,94,14.864615384615384
2018-02-20,168,2514.5499999999997,66,14.967559523809522
2018-02-21,200,2886.6599999999994,84,14.433299999999997
2018-02-22,249,3721.44,112,14.945542168674699
2018-02-23,402,5923.959999999999,130,14.736218905472635
2018-02-24,317,4701.839999999999,88,14.832302839116716
2018-02-25,241,3793.3499999999995,36,15.740041493775932
2018-02-26,136,2091.7500000000005,20,15.380514705882357
2018-02-27,226,3511.91,90,15.539424778761061
2018-02-28,220,3313.7000000000007,83,15.062272727272731
2018-03-01,252,3681.51,100,14.609166666666667
2018-03-02,367,5584.57,131,15.216811989100817
2018-03-03,412,6187.690000000001,136,15.018665048543692
2018-03-04,228,3494.7000000000003,29,15.32763157894737
2018-03-05,238,3561.4,102,14.963865546218488
2018-03-06,201,3018.2200000000003,70,15.016019900497513
2018-03-07,224,3277.65,111,14.632366071428573
2018-03-08,257,3823.5599999999995,109,14.877665369649803
2018-03-09,367,5495.42,131,14.973896457765667
2018-03-10,378,5568.52,108,14.731534391534392
2018-03-11,225,3500.3,34,15.55688888888889
2018-03-12,182,2850.02,76,15.659450549450549
2018-03-13,249,3629.2000000000003,146,14.575100401606427
2018-03-14,300,4264.26,146,14.2142
2018-03-15,300,4293.700000000001,155,14.312333333333335
2018-03-16,377,5462.13,167,14.48840848806366
2018-03-17,403,5948.270000000001,136,14.759975186104223
2018-03-18,222,3259.65,57,14.683108108108108
2018-03-19,170,2635.73,73,15.504294117647058
2018-03-20,228,3467.6499999999996,82,15.208991228070174
2018-03-21,263,3973.0,108,15.106463878326997
2018-03-22,238,3565.0199999999995,101,14.9790756302521
2018-03-23,348,4956.81,145,14.243706896551725
2018-03-24,422,6255.67,127,14.823862559241705
2018-03-25,186,2894.63,46,15.56252688172043
2018-03-26,168,2525.5699999999997,81,15.03315476190476
2018-03-27,175,2734.92,75,15.628114285714286
2018-03-28,186,2812.5499999999997,80,15.121236559139783
2018-03-29,254,3762.98,127,14.814881889763779
2018-03-30,335,5071.35,110,15.138358208955225
2018-03-31,358,5381.67,106,15.032597765363128
2018-04-01,147,2257.98,36,15.360408163265307
2018-04-02,174,2601.7,38,14.952298850574712
2018-04-03,169,2545.11,65,15.059822485207102
2018-04-04,213,3144.81,116,14.764366197183099
2018-04-05,227,3423.1299999999997,94,15.07986784140969
2018-04-06,321,4780.51,149,14.892554517133958
2018-04-07,319,4830.2699999999995,103,15.141912225705328
2018-04-08,182,2809.41,38,15.43631868131868
2018-04-09,181,2650.47,79,14.643480662983425
2018-04-10,212,3136.54,110,14.795
2018-04-11,229,3388.4300000000007,86,14.796637554585157
2018-04-12,216,3192.35,100,14.779398148148148
2018-04-13,340,4962.969999999999,138,14.596970588235292
2018-04-14,225,3479.5900000000006,88,15.464844444444447
2018-04-15,148,2276.3,28,15.380405405405407
2018-04-16,110,1649.5400000000004,53,14.995818181818185
2018-04-17,193,2931.3799999999997,87,15.188497409326423
2018-04-18,152,2249.22,84,14.7975
2018-04-19,167,2389.3,94,14.307185628742516
2018-04-20,216,3177.52,107,14.710740740740741
2018-04-21,204,3100.6800000000003,78,15.199411764705884
2018-04-22,168,2645.51,26,15.747083333333334
2018-04-23,139,2039.9499999999998,68,14.675899280575539
2018-04-24,171,2580.77,77,15.092222222222222
2018-04-25,192,2774.95,95,14.452864583333332
2018-04-26,234,3479.75,112,14.870726495726496
2018-04-27,287,4222.860000000001,107,14.713797909407667
2018-04-28,226,3400.6899999999996,91,15.047300884955751
2018-04-29,165,2471.8500000000004,26,14.980909090909092
2018-04-30,279,4146.63,112,14.86247311827957
2018-05-01,277,4212.05,64,15.205956678700362
2018-05-02,188,2803.2,86,14.910638297872339
2018-05-03,233,3551.0,109,15.240343347639485
2018-05-04,271,3994.76,130,14.740811808118082
2018-05-05,234,3516.8199999999997,89,15.029145299145299
2018-05-06,115,1760.8000000000002,36,15.311304347826088
