jour_semaine,frequentation,ca_ttc,prix_moyen
1 - Lundi,23716,354375.6299999988,14.942470484061342
2 - Mardi,25162,376282.4399999985,14.95439313250133
3 - Mercredi,28520,422916.989999999,14.828786465638114
4 - Jeudi,30839,454639.7599999996,14.742363889879686
5 - Vendredi,39534,583344.829999999,14.755522588151946
6 - Samedi,38632,573699.7199999994,14.850375854214107
7 - Dimanche,26633,406505.7599999992,15.263235835241963
