midi_soir,frequentation,ca_ttc,prix_moyen
1 - Matin,91,2560.659999999999,28.139120879120867
2 - Midi,14945,1069611.7700000044,71.56987420542016
3 - Après-midi,3231,272605.5899999994,84.37189415041763
4 - Soir,26605,1826987.1100000106,68.6708178913742
